,index,score,name
0,10,1064.7657256237428,MALE70_CY
1,51,926.0613139695131,MAGE63_CY
2,232,923.6834030415056,N40_EMP
3,52,919.1537590227397,MAGE64_CY
4,149,909.0449316491371,NW150_CY
5,231,908.7337880670733,N40_BUS
6,148,907.4077551129084,NW100_CY
7,150,903.7387385484267,NW250_CY
8,29,902.0338134643944,AGE69_CY
9,147,901.1885215795755,NW75_CY
10,151,898.6688765355793,AGGNW_CY
11,152,896.5152659482767,A15NW35_CY
12,230,893.5446010091842,N36_BUS
13,30,893.118410273394,AGE70_CY
14,153,892.907323493415,A25NW50_CY
15,154,889.4367074760013,A25NW100CY
16,146,889.128298590133,A75DI35_CY
17,155,884.3624915840177,A25NW150CY
18,229,883.8266911705991,N33_EMP
19,53,881.653700763134,MAGE65_CY
20,73,880.52654227111,FAGE59_CY
21,145,877.7845664841149,A75DI25_CY
22,156,876.7088015149727,A35NW100CY
23,228,874.9762403578382,N24_BUS
24,50,874.880618861221,MAGE62_CY
25,74,870.1396039426252,FAGE60_CY
26,144,870.0682159731911,A75DI15_CY
27,157,867.5179616116338,A35NW150CY
28,227,866.5613335091341,N18_EMP
29,31,864.6053362379864,AGE71_CY
30,28,863.3500179383576,AGE68_CY
31,143,863.0855426734124,AGGDIA65CY
32,162,860.9715194131456,A55NW250CY
33,158,859.7442083895814,A45NW150CY
34,161,859.4565100175237,A55NW150CY
35,226,858.0064012128055,N18_SALES
36,160,857.9371634773453,A55NW100CY
37,142,856.6805401796589,A65DI75_CY
38,159,856.34223938329,A45NW250CY
39,163,855.1100040236448,AGGNWA55CY
40,54,853.3543432165502,MAGE66_CY
41,32,852.8157942197582,AGE72_CY
42,225,852.406983115945,N13_EMP
43,72,852.2827145074529,FAGE58_CY
44,141,850.6327629956137,A65DI50_CY
45,76,849.2500078151961,FAGE62_CY
46,75,849.0915258528851,FAGE61_CY
47,164,848.2086560944175,A65NW100CY
48,140,846.1103322445888,A65DI35_CY
49,224,846.0367267426077,N13_SALES
50,9,845.0507190758226,MALE65_CY
51,139,841.4259457673556,A65DI25_CY
52,223,839.1064016359041,N12_EMP
53,49,837.2731006711745,MAGE61_CY
54,165,836.4614480719875,A65NW150CY
55,138,835.6591858735212,A65DI15_CY
56,27,833.9321800422134,AGE67_CY
57,7,830.2016901134,MALE55_CY
58,222,830.1466388392545,N12_SALES
59,71,830.1332521790664,MAGE83_CY
60,137,828.1971303706032,A55DI50_CY
61,5,821.2233508732384,POP75_CY
62,77,821.1027292293487,FAGE63_CY
63,221,820.0247004054206,N09_EMP
64,136,819.0936042968646,A55DI35_CY
65,12,818.1089533621723,MALE80_CY
66,220,810.7999018837675,N09_BUS
67,135,810.3768373158595,A55DI25_CY
68,3,806.1849014125493,POP65_CY
69,33,805.3389574527828,AGE73_CY
70,134,803.7724726314324,A55DI15_CY
71,219,803.3200230296698,N05_BUS
72,133,795.0349239918331,A45DI50_CY
73,70,794.71069440068,MAGE82_CY
74,26,793.9017640732528,AGE66_CY
75,218,793.4787793200294,N04_BUS
76,48,792.3942963716083,MAGE60_CY
